"(M, N)",RMSE,[Coefficients],[Predicted Values]
"(5, 0)",236.72279163408854,"[-0.022604496093427684, 0.1264286825764785, -0.24613440062797334, 0.021014309348183324, 1.1236326938221946]","[2003.9836196801964, 2034.061465210032, 1896.8449990391807, 1805.2299070255817, 1553.7036429427026, 1614.033041779369, 1449.1125822720228, 1287.9046410149729, 1227.3146725982933, 1161.180130125243, 1197.5329740389027, 1125.1749402535575, 1044.3995860971606, 1008.4890419053598, 1017.0639358267241, 1032.9987860445506, 1153.5028466464312, 1223.6697403672372, 1154.6329299629858]"
"(5, 1)",219.20116126580913,"[0.05081452043811389, -0.06233185613440467, 0.1861922247304061, -0.29375273029405485, 0.09808298888685957, 1.0467661383340983]","[1966.30325894207, 2014.9532921912269, 1865.9426822102207, 1807.2579639002074, 1650.3056250123725, 1563.2645287757357, 1444.6748017179766, 1239.5740626856102, 1199.6577318643558, 1132.2105093404637, 1168.7111288216406, 1149.5947125581451, 1017.2507785709038, 981.9247260234052, 1010.0335109320185, 1016.6742831243262, 1113.410379263954, 1194.298923553604, 1128.0465351419089]"
"(5, 2)",228.04712168978438,"[0.08699997033131769, -0.008321165824662392, 0.0041920131980093985, 0.016152048396272836, -0.06472410540486358, -0.0714597754610524, 1.0808366352114904]","[1953.0664276554407, 1980.8483882503365, 1881.7483491567903, 1777.6305991432912, 1548.9031974868506, 1787.1305437843469, 1372.0794802377936, 1302.926432216832, 1167.6376247858823, 1114.637690257904, 1160.8804226021994, 1080.1827301615385, 1102.052908463555, 971.819556989501, 968.6972194421813, 1025.2595854300976, 1129.5209787698618, 1159.7769415341058, 1114.874108160681]"
"(5, 3)",221.11286864104872,"[0.07575904609132506, 0.050312382089425275, -0.01599706371598921, -0.06613206746300115, 0.18772911399177042, -0.16934306753171544, -0.11984531927023068, 1.1222426344133942]","[1926.3482826164397, 1956.1325740803104, 1852.2073140129548, 1773.2083039711733, 1512.3336964175573, 1742.2880752634915, 1547.1471633057413, 1244.8657100337405, 1202.866574489097, 1088.6013854346388, 1136.9795110471978, 1056.6402010415927, 1049.1946430688738, 1040.0234712125923, 956.9509847555405, 988.6269175152768, 1140.2490828332334, 1165.7175485973698, 1079.4677880212932]"
"(5, 4)",217.59846707892711,"[0.04513061689072147, 0.05946751937827685, 0.04240783863760957, -0.014623357983823687, -0.027192345231487114, 0.15209558491708813, -0.18721811665324173, -0.1311995980998831, 1.1451048889549147]","[1909.8455222187745, 1941.909651706976, 1832.9955492647173, 1765.5505626044971, 1502.3027592964877, 1717.8985722954492, 1528.9528053019033, 1343.6149386940892, 1177.7722773040055, 1100.1661594450222, 1123.7496755699435, 1040.1974265612912, 1030.3611556699357, 1012.1584598638309, 992.3684967040303, 976.9249049242359, 1118.793581165434, 1170.5414902057519, 1075.5724828879474]"
"(5, 5)",212.76871128001065,"[0.02200253538221862, 0.04041071680216613, 0.05960617301627432, 0.04319973919733954, -0.015291183434539567, -0.02043700202458773, 0.14009714362761655, -0.19455539216495338, -0.11675561182577297, 1.1383908624493932]","[1894.9877817096867, 1927.0243946997657, 1824.1127671559743, 1751.1059279550554, 1500.0807533243708, 1714.370989902918, 1526.3246831928539, 1339.6520647825203, 1221.1115204685057, 1088.6525868695542, 1123.3409438843696, 1029.8904396007101, 1019.7855042325755, 1004.6956003565258, 980.7772299010903, 990.9984423022809, 1110.9729729380533, 1158.603723180533, 1075.8509929332624]"
"(5, 6)",215.00348152030807,"[-0.011785764238453683, 0.0244253007875573, 0.04032307019786745, 0.05943522763494548, 0.04372713849978244, -0.015972442147280344, -0.019380599995605603, 0.14733565508237884, -0.20073205943526842, -0.12421699035604329, 1.1472742042972812]","[1897.8013863602982, 1935.6383802446026, 1831.5207115942092, 1756.3005629780514, 1504.61454828357, 1717.5157811979968, 1527.3679161085925, 1340.648365284332, 1223.6924400520443, 1064.6413739571904, 1130.183348873939, 1028.9147022435304, 1025.151644552694, 1010.4567649760186, 984.182999627651, 996.9289930189672, 1104.3848280491916, 1162.9436573885428, 1081.2773737857801]"
"(5, 7)",218.23693092593712,"[0.01160230063695341, -0.014014242196869916, 0.024037498189339482, 0.04057493623776856, 0.058665254720802834, 0.04359791995447212, -0.014977697025375925, -0.029160099375444726, 0.15694537805074665, -0.1961126305340991, -0.13413450360052995, 1.1495262694571133]","[1933.6870428378834, 1822.470028936387, 1749.6452011218025, 1500.5631995510207, 1710.8697554528435, 1524.0533619205667, 1338.4392850579402, 1221.9399593240253, 1062.3900482915603, 1153.89212999641, 1023.0988433259852, 1025.1027327782308, 1004.8061199373028, 978.9606438653099, 993.0730151644357, 1098.5405542432368, 1169.803094042642, 1076.6128793077496]"
"(6, 0)",243.2492443004333,"[0.1952884976875861, -0.275475323405145, 0.16267158917769198, -0.1836754056533974, -0.032402947857258835, 1.1497820486914374]","[2054.2065346036634, 1895.2604358274236, 1852.4383007520955, 1526.6548045718669, 1618.2846941812622, 1443.050539488131, 1294.327300092882, 1265.9437505532019, 1133.500135314351, 1219.5582735664998, 1126.9462963067806, 1052.6118024183302, 1009.7250060740841, 998.5275397410139, 1030.1356291312786, 1153.8975101757003, 1220.6304250927392, 1144.309181886992]"
"(6, 1)",225.93504903751156,"[0.04974616310897259, 0.17391127873548015, -0.28689484484278455, 0.21859541793553725, -0.240141005759173, 0.05054002708281108, 1.0719329210965005]","[2033.9343491906718, 1865.1574730152668, 1849.3367031176563, 1624.2154731376975, 1567.977398063032, 1439.8319596144183, 1245.9974246786926, 1234.8042939535505, 1108.1975945856893, 1189.071629747395, 1150.8664705844828, 1025.0981046490565, 983.6752341488225, 993.774050858322, 1014.6509917231241, 1114.7684051271067, 1192.5612779758362, 1119.5280646289498]"
